building,room_number,room_code,dorm_type
1号楼,101,101640017,1
1号楼,102,101640001,1
1号楼,103,101640016,1
1号楼,104,101640002,1
1号楼,105,101640015,1
1号楼,106,101640003,1
1号楼,107,101640014,1
1号楼,108,101640004,1
1号楼,109,101640013,1
1号楼,110,101640005,1
1号楼,111,101640012,1
1号楼,112,101640006,1
1号楼,113,101640011,1
1号楼,114,101640007,1
1号楼,115,101640010,1
1号楼,116,101640008,1
1号楼,117,101650008,1
1号楼,118,101640009,1
1号楼,120,101650007,1
1号楼,122,101650006,1
1号楼,125,101650001,1
1号楼,127,101650002,1
1号楼,128,101650005,1
1号楼,129,101660010,1
1号楼,130,101650004,1
1号楼,131,101660011,1
1号楼,132,101650003,1
1号楼,133,101660012,1
1号楼,134,101660001,1
1号楼,135,101660013,1
1号楼,136,101660002,1
1号楼,137,101660014,1
1号楼,138,101660003,1
1号楼,139,101660015,1
1号楼,140,101660004,1
1号楼,141,101660016,1
1号楼,142,101660005,1
1号楼,143,101660017,1
1号楼,144,101660006,1
1号楼,146,101660007,1
1号楼,148,101660008,1
1号楼,150,101660009,1
1号楼,201,101680008,1
1号楼,202,101680017,1
1号楼,203,101680007,1
1号楼,204,101680016,1
1号楼,205,101680006,1
1号楼,206,101680015,1
1号楼,207,101680005,1
1号楼,208,101680014,1
1号楼,209,101680004,1
1号楼,210,101680013,1
1号楼,211,101680003,1
1号楼,212,101680012,1
1号楼,213,101680002,1
1号楼,214,101680011,1
1号楼,215,101680001,1
1号楼,216,101680010,1
1号楼,217,101690008,1
1号楼,218,101680009,1
1号楼,219,101690007,1
1号楼,220,101690014,1
1号楼,221,101690006,1
1号楼,222,101690013,1
1号楼,223,101690005,1
1号楼,224,101690012,1
1号楼,225,101690004,1
1号楼,227,101690003,1
1号楼,228,101690011,1
1号楼,230,101690010,1
1号楼,231,101690002,1
1号楼,232,101690009,1
1号楼,233,101690001,1
1号楼,234,101700001,1
1号楼,235,101700010,1
1号楼,236,101700002,1
1号楼,237,101700011,1
1号楼,238,101700003,1
1号楼,239,101700012,1
1号楼,240,101700004,1
1号楼,241,101700013,1
1号楼,242,101700005,1
1号楼,243,101700014,1
1号楼,244,101700006,1
1号楼,245,101700015,1
1号楼,246,101700007,1
1号楼,247,101700016,1
1号楼,248,101700008,1
1号楼,249,101700017,1
1号楼,250,101700009,1
1号楼,301,101720017,1
1号楼,302,101720001,1
1号楼,303,101720011,1
1号楼,304,101720002,1
1号楼,305,101720012,1
1号楼,306,101720003,1
1号楼,307,101720014,1
1号楼,308,101720004,1
1号楼,309,101720013,1
1号楼,310,101720005,1
1号楼,311,101720015,1
1号楼,312,101720006,1
1号楼,313,101720016,1
1号楼,314,101720007,1
1号楼,315,101720010,1
1号楼,316,101720008,1
1号楼,317,101730007,1
1号楼,318,101720009,1
1号楼,319,101730008,1
1号楼,320,101730006,1
1号楼,321,101730009,1
1号楼,322,101730005,1
1号楼,323,101730010,1
1号楼,324,101730004,1
1号楼,325,101730011,1
1号楼,327,101730012,1
1号楼,328,101730003,1
1号楼,330,101730002,1
1号楼,331,101730013,1
1号楼,332,101730001,1
1号楼,333,101730014,1
1号楼,334,101740009,1
1号楼,335,101740010,1
1号楼,336,101740008,1
1号楼,337,101740011,1
1号楼,338,101740007,1
1号楼,339,101740012,1
1号楼,340,101740006,1
1号楼,341,101740013,1
1号楼,342,101740005,1
1号楼,343,101740014,1
1号楼,344,101740004,1
1号楼,345,101740015,1
1号楼,346,101740003,1
1号楼,347,101740016,1
1号楼,348,101740002,1
1号楼,349,101740017,1
1号楼,350,101740001,1
1号楼,401,101760010,1
1号楼,402,101760001,1
1号楼,403,101760011,1
1号楼,404,101760002,1
1号楼,405,101760012,1
